Datetime,RTU_COMP_WATT,RTU_OA_FLOW,RTU_OA_HUM,RTU_OA_TEMP,RTU_RA_FLOW,RTU_RA_HUM,RTU_RA_TEMP,RTU_REFG_COND_PRES,RTU_REFG_COND_TEMP,RTU_REFG_DISC_PRES,RTU_REFG_DISC_TEMP,RTU_REFG_SUCT_PRES,RTU_REFG_SUCT_TEMP,RTU_SA_FAN_WATT,RTU_SA_FLOW,RTU_SA_HUM,RTU_SA_TEMP,RTU_SEN_CAPA,RTU_STG_STA,RTU_TOT_CAPA,RTU_TOT_WATT,ZA_HUM,ZA_TEMP,ZA_TEMP_SPT
2018-07-20 01:00:00,2097.6797,181.93083,49.361565,55.04003,2941.1106,50.0,75.2,24763394.0,79.043396,25093532.0,112.44799,14253456.0,53.074745,94.42871,2941.1106,98.70536,52.272797,14631.9375,1.0,17422.904,2192.1084,59.926773,73.611046,73.399994
2018-07-20 01:01:00,2089.0981,181.93083,59.133976,55.03399,2941.1106,59.89883,73.35358,24861452.0,79.31279,25198948.0,112.72864,14454670.0,54.300545,94.42871,2941.1106,100.0,53.288155,12823.31,1.0,17655.139,2183.5269,59.89883,73.35358,73.399994
2018-07-20 01:02:00,2089.8665,181.93083,59.10584,55.028,2941.1106,59.87033,73.096176,24846182.0,79.27093,25183480.0,112.28627,14428462.0,53.771553,94.42871,2941.1106,100.0,53.024975,12819.816,1.0,17625.334,2184.2952,59.87033,73.096176,73.399994
2018-07-20 01:03:00,2091.4324,181.93083,59.07798,55.022015,2941.1106,59.842117,72.839096,24822794.0,79.20671,25158652.0,112.12219,14384741.0,53.41823,94.42871,2941.1106,100.0,52.77542,12811.667,1.0,17576.23,2185.861,59.842117,72.839096,73.399994
2018-07-20 01:04:00,2093.298,181.93083,59.050636,55.01603,2941.1106,59.814423,72.583115,24796212.0,79.13365,25130132.0,112.07385,14334126.0,53.139015,94.42871,2941.1106,100.0,52.532455,12801.41,1.0,17519.484,2187.7268,59.814423,72.583115,73.399994
2018-07-20 01:05:00,2095.26,181.93083,59.02393,55.009987,2941.1106,59.787376,72.328445,24768444.0,79.0573,25100232.0,112.074455,14280956.0,52.89204,94.42871,2941.1106,100.0,52.293396,12790.163,1.0,17459.879,2189.6887,59.787376,72.328445,73.399994
2018-07-20 01:06:00,2097.2327,181.93083,58.997787,55.003998,2941.1106,59.76089,72.07521,24740336.0,78.979904,25069936.0,112.095055,14227066.0,52.659187,94.42871,2941.1106,100.0,52.056915,12778.442,1.0,17399.44,2191.6614,59.76089,72.07521,73.399994
2018-07-20 01:07:00,2099.1836,181.93083,58.972244,54.99801,2941.1106,59.73503,71.823456,24712216.0,78.90239,25039618.0,112.12477,14173168.0,52.43358,94.42871,2941.1106,100.0,51.82252,12766.44,1.0,17338.95,2193.6123,59.73503,71.823456,73.399994
2018-07-20 01:00:00,2279.2634,145.54465,49.361565,55.04003,2941.1106,50.0,75.2,26039782.0,82.488495,26360312.0,117.705444,14305104.0,53.289196,94.42871,2941.1106,98.42603,52.44391,14497.839,1.0,17172.412,2373.6921,59.864338,73.64241,73.399994
2018-07-20 01:01:00,2274.8003,145.54465,59.0907,55.03399,2941.1106,59.854992,73.387474,26155302.0,82.79402,26482906.0,117.983284,14505762.0,54.454353,94.42871,2941.1106,100.0,53.4769,12723.933,1.0,17396.781,2369.229,59.854992,73.387474,73.399994
2018-07-20 01:02:00,2275.0398,145.54465,59.079807,55.028,2941.1106,59.843964,73.133194,26136758.0,82.74508,26464038.0,117.581406,14478069.0,53.965347,94.42871,2941.1106,100.0,53.22416,12716.524,1.0,17366.02,2369.4685,59.843964,73.133194,73.399994
2018-07-20 01:03:00,2275.743,145.54465,59.068115,55.022015,2941.1106,59.832127,72.879684,26109520.0,82.67312,26435366.0,117.43348,14434124.0,53.637627,94.42871,2941.1106,100.0,52.9835,12705.401,1.0,17318.398,2370.1716,59.832127,72.879684,73.399994
2018-07-20 01:04:00,2276.6064,145.54465,59.05592,55.01603,2941.1106,59.819775,72.62761,26079052.0,82.59248,26403044.0,117.38585,14384142.0,53.37445,94.42871,2941.1106,100.0,52.748505,12692.785,1.0,17264.41,2371.0352,59.819775,72.62761,73.399994
2018-07-20 01:08:00,2101.0981,181.93083,58.9473,54.99202,2941.1106,59.709763,71.5733,24684248.0,78.82527,25009470.0,112.15795,14119609.0,52.211876,94.42871,2941.1106,100.0,51.59005,12754.261,1.0,17278.793,2195.5269,59.709763,71.5733,73.399994
2018-07-20 01:09:00,2102.9702,181.93083,58.922935,54.986034,2941.1106,59.68508,71.32468,24656496.0,78.74869,24979562.0,112.19256,14066523.0,51.992535,94.42871,2941.1106,100.0,51.359447,12741.949,1.0,17219.113,2197.399,59.68508,71.32468,73.399994
2018-07-20 01:10:00,2104.7986,181.93083,58.899124,54.979992,2941.1106,59.660973,71.07765,24628980.0,78.67267,24949914.0,112.227715,14013955.0,51.775223,94.42871,2941.1106,100.0,51.130547,12729.527,1.0,17159.97,2199.2273,59.660973,71.07765,73.399994
2018-07-20 01:11:00,1037.4218,181.93083,58.755177,54.974007,2058.7773,59.51631,70.90544,22301512.0,72.0032,22497160.0,81.3096,15046539.0,47.30599,66.1001,2058.7773,99.9877,50.161663,9248.161,0.67,12775.522,1103.5219,59.51631,70.90544,73.399994
2018-07-20 01:12:00,1071.3932,181.93083,58.094753,54.968018,2058.7773,58.847324,71.05678,22235382.0,71.80495,22411834.0,94.45914,14713603.0,50.877037,66.1001,2058.7773,100.0,50.318825,9255.825,0.67,12556.345,1137.4933,58.847324,71.05678,73.399994
2018-07-20 01:13:00,1083.3368,181.93083,57.474445,54.96203,2058.7773,58.21899,71.210144,22172520.0,71.616806,22342010.0,97.442696,14524016.0,52.703625,66.1001,2058.7773,100.0,50.443077,9290.087,0.67,12397.244,1149.4369,58.21899,71.210144,73.399994
2018-07-20 01:14:00,1087.7611,181.93083,56.8923,54.955986,2058.7773,57.6293,71.35924,22146710.0,71.53952,22313672.0,98.53633,14450439.0,53.354073,66.1001,2058.7773,100.0,50.476204,9352.25,0.67,12336.156,1153.8612,57.6293,71.35924,73.399994
2018-07-20 01:00:00,2035.6123,181.93083,58.899765,55.04003,2941.1106,59.661587,73.74255,24421906.0,78.109344,24790586.0,110.739395,14380519.0,53.602966,94.42871,2941.1106,100.0,52.79168,13382.737,1.0,16806.28,2130.041,59.661587,73.74255,73.399994
